Word,Gender
pays,m
gris,m
concubine,f
tape,f
bulldozer,m
gnome,m
instrument,m
analyse,f
joker,m
diversion,f
groom,m
allure,f
dom,m
migration,f
agape,f
croc,m
croc,m
hangar,m
altercation,f
alibi,m
table,f
pollen,m
peluche,f
agate,f
moustache,f
sabotage,m
rédemption,f
pointer,m
tilde,m
carillon,m
agent,m
trap,m
katakana,m
cassation,f
spot,m
alliance,f
allegro,m
ambition,f
yin-yang,m
thymine,f
guanine,f
ambulance,f
Lombard,m
trichomanie,f
convention,f
agenda,m
carte,f
barn,m
chandelier,m
chandelier,m
top,m
escape,f
buffet,m
aperture,f
snack,m
yin,m
animation,f
annihilation,f
dune,f
trimaran,m
blog,m
trench,m
infanticide,m
bride,f
vertex,m
hecto,m
yang,m
steppe,f
catamaran,m
convulsion,f
alias,m
sketch,m
flamenco,m
antidote,m
jabot,m
stipe,m
tonne,f
tonne,f
piste,f
amateur,m
ante,f
soul,f
trace,f
softball,m
niche,f
tension,f
four à micro-ondes,m
herbicide,m
insecticide,m
harga,f
septum,m
infant,m
centurion,m
nerf,m
expansion,f
futur,m
thrombose,f
variable,f
urinal,m
discussion,f
thrombus,m
photo,f
apparition,f
qualification,f
rival,m
description,f
bord,m
guide,m
gland,m
baseball,m
kaki,m
manager,m
cuti,f
crucifix,m
yard,m
crucifixion,f
drain,m
shilling,m
germicide,m
urine,f
transposition,f
inversion,f
pesticide,m
nanti,m
spermicide,m
dessert,m
conformateur,m
pendant,m
lieutenant,m
ski,m
LSD,m
root,m
caviar,m
tee,m
ale,f
anus,m
premier ministre,m
millibar,m
muscle,m
hectare,m
appoint,m
miracle,m
ritardando,m
inox,m
unité astronomique,f
suicide,m
coda,f
mucus,m
inverse,m
film,m
taxation,f
nous,m
cacao,m
T-shirt,m
possible,m
public,m
crêpe,m
crêpe,f
souvlaki,m
expert,m
bob,m
bob,m
arcade,f
shawarma,m
parsec,m
correction,f
approbation,f
paparazzi,m
application,f
tour de force,m
uni,f
centre,m
large,m
dan,m
gyros,m
tenure,f
nono,m
programme,m
shah,m
vagabond,m
notable,m
panic,m
château,m
constellation,f
combine,f
maj,m
beagle,m
whisky,m
denture,f
queue,f
canton,m
dos,m
porn,f
bistro,m
whiskey,m
toast,m
coma,m
impatient,m
quart,m
alcohol,m
marimba,m
cowboy,m
incongruence,f
toit,m
drop,m
hiragana,m
rutabaga,m
archer,m
ipé,m
pelle,f
carnage,m
malt,m
congruence,f
cadenas,m
gamer,m
kebab,m
ua,m
puzzle,m
moderato,m
fiancé,m
rime,f
cantabile,m
ostinato,m
colere,f
actrice,f
stage,m
starter,m
diminuendo,m
angelus,m
adjuration,f
single,m
adduction,f
radiation,f
bogie,m
ocarina,m
activation,f
yakuza,m
bogey,m
express,m
entrepreneur,m
adoration,f
glissando,m
acquisition,f
fiancée,f
contralto,m
certitude,f
PIE,m
vicissitude,f
aliment,m
agiotage,m
aggravation,f
amen,m
affiliation,f
pianissimo,m
affirmation,f
coach,m
hic,m
tong,f
crescendo,m
tsunami,m
ani,m
clef,f
agglutination,f
courge,f
staccato,m
agio,m
sieur,m
muezzin,m
radical,m
colo,f
patient,m
monsieur,m
conclave,m
legato,m
prophétie,f
imbroglio,m
regard,m
zucchini,m
hibou,m
tempe,f
palindrome,m
emprunt,m
mélange,m
soufre,m
étudiante,f
prêt,m
boisson,f
madame,f
gouffre,m
chambre,f
pluriel,m
métal,m
métal,m
bonus,m
mesa,f
étudiant,m
arrêt,m
bière,f
bière,f
chouette,f
martin,m
consolation,f
duplex,m
harangue,f
patron,m
dragoman,m
courgette,f
albatros,m
monstre,m
parélie,f
pogrom,m
baud,m
baud,m
analogue,m
porno,m
woofer,m
manger,m
gaulois,m
vase,f
vase,m
moteur,m
xérès,m
ramollissement,m
chant,m
stridulation,f
jerez,m
soprano,m
octet,m
ambivalence,f
ut,m
senior,m
placenta,m
adagio,m
donation,f
bricolage,m
solitude,f
kit,m
quartet,m
email,m
dent,f
balai,m
sampi,m
gong,m
surface,f
flan,m
sherry,m
bœuf,m
verve,f
accoutrement,m
poche,f
doyen,m
flexion,f
gent,f
match,m
bijection,f
jade,m
surjection,f
visage,m
origami,m
oculus,m
fix,m
moral,m
rentier,m
palus,m
cap,m
brave,m
coupe,f
coupe,f
tribade,f
manufacture,f
incursion,f
alto,m
profession,f
faux,f
confluence,f
saint,m
spadassin,m
clochard,m
limousine,f
choeur,m
vice,m
coelioscopie,f
boeuf,m
album,m
koppa,m
chœur,m
blair,m
fer à repasser,m
noeud,m
sœurette,f
effet serre,m
voeu,m
badge,m
prière,f
nœud,m
soeur,f
pif,m
ère,f
machination,f
accoudoir,m
oeil,m
sphère,f
vœu,m
frère,m
vampire,m
chère,f
cage,f
vocation,f
sœur,f
manœuvre,f
manœuvre,m
olim,m
serre,f
boue,f
scion,m
arc-en-ciel,m
coup de pied,m
motion,f
clair,m
coup de foudre,m
justification,f
coup d'œil,m
goût,m
scotch,m
scotch,m
genou,m
murex,m
première,f
format,m
kumquat,m
falafel,m
vue,f
hélicoptère,m
pierre,f
dû,m
rousse,f
trou,m
lettre,f
paire,f
clou,m
pouvoir,m
baleine,f
transformation,f
roux,m
fisc,m
nirvana,m
forage,m
cul,m
cru,m
office,m
confirmation,f
putain,f
tour,f
tour,m
tour,m
coup,m
mac,m
mac,m
bravo,m
cou,m
bacon,m
mono,m
situation,f
duvet,m
folle,f
tachyon,m
polytope,m
lingam,m
pelo,m
cabriolet,m
option,f
hypercube,m
hooligan,m
transept,m
monde,m
portion,f
quartette,m
quintette,m
perp,f
occident,m
fragment,m
parkour,m
obstruction,f
kot,m
orifice,m
prion,m
relative,f
cachet,m
dos-à-dos,m
postposition,f
bachelor,m
ageratum,m
fax,m
clan,m
fer,m
position,f
paladin,m
physique,m
physique,f
azotite,m
azurite,f
ire,f
plaid,m
plaid,m
azarole,f
ode,f
quotient,m
formule,f
adage,m
fou,m
fou,m
jus,m
azote,m
aviculture,f
pirouette,f
incident,m
lieu géométrique,m
spiral,m
avocate,f
œuf,m
adamite,f
haut,m
axolotl,m
gueux,m
girafeau,m
girafon,m
quota,m
benzine,f
averse,f
brand,m
lieu,m
lieu,m
oeuf,m
palais,m
palais,m
ayatollah,m
peu,m
agitato,m
girafe,f
sèche,f
avarice,f
ciel,m
ciel,m
performance,f
noir,m
gloire,f
glace,f
dope,f
aventurine,f
avocat,m
avocat,m
palette,f
bleu,m
aviso,m
aversion,f
ko,m
phase,f
aire,f
aire,f
rote,f
aventure,f
aviation,f
lis,m
tycoon,m
malin,m
patch,f
feu,m
c.,f
pardon,m
trouble,m
dossier,m
cousine,f
casque,m
quarte,f
roc,m
roc,m
kiki,m
raison,f
occasion,f
carapace,f
avant,m
fin,f
sec,m
quinte,f
acupuncture,f
fade,m
fade,f
frigo,m
fem,f
maestro,m
tata,f
tata,m
Paki,m
oxide,m
gentleman,m
pack,m
glacier,m
glacier,m
triumvir,m
alêne,f
brie,m
pile,f
morgue,f
sac,m
sac,m
blanc,m
pique,f
pique,m
rectitude,f
discriminant,m
sorbitol,m
haja,f
chauffeur,m
monitor,m
asymptote,f
gru,m
baggy,m
ridicule,m
avalanche,f
agouti,m
résumé,m
herbivore,m
bric-à-brac,m
perturbation,f
clown,m
ch.,m
joke,f
fez,m
taxi,m
autobus,m
pal,m
